Layer,Component/File,Responsibilities,Interfaces (REST/Socket),Key Data Structures,Notes
Middleware,notFound.middleware.ts,Return 404 for unmatched routes,Express middleware,ResponseUtil.notFound,Placed after routes
Utils,response.util.ts,Standardized success/error/notFound/badRequest,Http responses helpers,Uniform {success,message,data},Used across controllers/routers
Utils,logger.util.ts,Logger abstraction,Console-based,Logger methods info/debug/error/warn,Used across backend
Models,models/user.model.ts,User interface definition,Type only,IUser {id,name,email,createdAt,updatedAt},Shared by service
Config,config/swagger.config.ts,Swagger spec for routes,Served at /api-docs,OpenAPI spec object,Docs for chat/socket/user
Frontend Bootstrap,src/main.tsx,Mount React app,Entrypoint,React root,Imports global styles
Frontend Shell,src/App.tsx,Define routes/layout wrappers,Routers to pages,React components,Uses Layout
Layout,components/Layout.tsx,Common layout shell header/sidebar,Rendered around pages,Props children,Styles via CSS
Chat Page,pages/Chat.tsx,Host chat dashboard view,Uses ChatDashboard,Props,Combines chat list/window
Dashboard Page,pages/Dashboard.tsx,Dashboard view likely embeds chat stats,Uses ChatDashboard,React component
Feedback Page,pages/Feedback.tsx,Feedback submission page,Uses FeedbackModal/hook,useFeedback hook,Form post via apiService
Chat Dashboard,components/ChatDashboard.tsx,Orchestrate chat list + window + visitor panel,Uses ChatList ChatWindow VisitorInfoPanel,State: selected conversation,user context,Pass handlers
Chat List,components/ChatList.tsx,Display conversations list and selection,Uses apiService for conversations,Conversations data structure,Select conversation triggers ChatWindow load
Chat Window,components/ChatWindow.tsx,"Manage Socket.IO lifecycle; load history via REST; send text/file; typing indicators; feedback modal; drag/drop files; system messages","Socket events: new-message,user-typing,user-joined,user-left,joined-conversation,left-conversation,feedback-submitted; emits send-message,typing-start/stop,join/leave; REST: apiService.getConversationMessages","ChatMessage {id,type,text,sender,timestamp,username,socketId,file?,linkPreview?}; FileAttachment; typingUsers Map<socketId,username>; sentMessageIds Set; selectedFiles[]","Converts StoredChatMessage→ChatMessage; dedup by sent ids; handles image/file previews; compresses images when needed"
Conversation View,components/ConversationView.tsx,Render message list with avatars/previews,Props messages,onSend,onFileDrop,ChatMessage render,Styles CSS
Link Preview,components/LinkPreview.tsx,Render URL preview card,Input link url,Preview data,Used when message has link
File Preview Item,components/FilePreviewItem.tsx,Render file attachment preview/card,Props file attachment,Uses file icon helper
Visitor Info Panel,components/VisitorInfoPanel.tsx,Show visitor/user metadata,Props visitor info,Read-only panel
Feedback Modal,components/FeedbackModal.tsx,Collect rating/comment submit via hook/api,Calls useFeedback -> apiService.submitFeedback,Form state rating/description,Opens from ChatWindow end-chat flow
Hook,useFeedback.ts,Manage feedback form state + submission,Calls apiService.submitFeedback,State: rating,description,loading,error,Returns submit handler
Socket Client Service,services/socket.service.ts (frontend),Socket.IO client wrapper connect/join/send/typing/listeners,"Events emitted: join-conversation,leave-conversation,send-message,typing-start,typing-stop; Listens: new-message,user-typing,user-joined,user-left,joined-conversation,left-conversation,feedback-submitted,error","ConversationId tracking; reconnect attempts; isIntentionallyDisconnected flag",Auto-connect with query.conversationId; exposes on/off helpers
REST Client Service,services/api.service.ts,Fetch rooms/conversations/feedback,HTTP endpoints /api/socket/rooms /chat/messages /chat/conversations /chat/feedback,
